ds,y,temp,daylight,holiday
2019-09-07,98.0,12.9,13.147777777777778,0
2019-09-08,49.0,12.8,13.086388888888889,0
2019-09-09,126.0,12.4,13.025277777777777,0
2019-09-10,88.0,13.1,12.963888888888889,0
2019-09-11,77.0,14.7,12.9025,0
2019-09-12,74.0,15.3,12.841111111111111,0
2019-09-13,118.0,17.7,12.779444444444444,0
2019-09-14,75.0,15.0,12.717777777777778,0
2019-09-15,102.0,15.8,12.65611111111111,0
2019-09-16,85.0,15.7,12.594444444444445,0
2019-09-17,63.0,13.2,12.532777777777778,0
2019-09-18,63.0,10.1,12.470833333333333,0
2019-09-19,73.0,8.6,12.409166666666666,0
2019-09-20,97.0,9.1,12.347222222222221,0
2019-09-21,67.0,11.6,12.285277777777777,0
2019-09-22,104.0,12.7,12.223333333333333,0
2019-09-23,92.0,12.1,12.161388888888888,0
2019-09-24,63.0,14.8,12.099444444444444,0
2019-09-25,76.0,14.1,12.037222222222223,0
2019-09-26,78.0,14.0,11.975277777777778,0
2019-09-27,86.0,15.6,11.913333333333334,0
2019-09-28,81.0,14.1,11.85138888888889,0
2019-09-29,79.0,14.9,11.789166666666667,0
2019-09-30,80.0,14.8,11.727222222222222,0
2019-10-01,97.0,13.8,11.665277777777778,0
2019-10-02,75.0,11.2,11.603333333333333,0
2019-10-03,67.0,7.4,11.541666666666666,0
2019-10-04,56.0,8.4,11.479722222222222,0
2019-10-05,71.0,8.3,11.418055555555556,0
2019-10-06,48.0,6.8,11.356388888888889,0
2019-10-07,75.0,5.3,11.294722222222223,0
2019-10-08,81.0,8.8,11.233055555555556,0
2019-10-09,78.0,11.6,11.171666666666667,0
2019-10-10,68.0,9.5,11.110277777777778,0
2019-10-11,90.0,10.4,11.04888888888889,0
2019-10-12,101.0,14.3,10.987777777777778,0
2019-10-13,95.0,16.4,10.926666666666666,0
2019-10-14,90.0,13.6,10.865833333333333,0
2019-10-15,75.0,12.3,10.805,0
2019-10-16,85.0,11.6,10.744166666666667,0
2019-10-17,68.0,11.1,10.68388888888889,0
2019-10-18,68.0,13.2,10.623333333333333,0
2019-10-19,53.0,12.3,10.563333333333333,0
2019-10-20,94.0,9.2,10.503333333333334,0
2019-10-21,74.0,10.1,10.443333333333333,0
2019-10-22,75.0,10.3,10.383888888888889,0
